Campaign_ID,Link_ID,ML_Link_or_ID,ML_Tag,Platform,Surface,Content_ID,Meta_Post_ID,Reel_ID,Character,Product_Key,Product_ID,Product_Title,Product_URL,Native_Product_Attachment_ID,Native_Product_Attached_At,Native_Product_Status,CTA,Created_Local,Published_Local,Approval_Status,Publication_Status,Status,Clicks,Gross_Sales,Approved_Sales,Units_Sold,Revenue_MXN,Commission_MXN,Confirmed_Commission_MXN,Last_Click_At,Metrics_Cutoff_Local,Source,Notes
USM-HIST-FB-202608,ML-FB-2026-08-04_18,,Links de facebook - universesentme,Facebook,FACEBOOK_AGGREGATE_HISTORICAL,,,,Universe Sent Me,UNKNOWN,,,Facebook affiliate aggregate,,,,,,2026-08-19,,,Historical_Aggregate_No_Link_Granularity,3,2,,2,322.65,28.84,,2026-08-18,2026-08-19,Mercado Libre Metrics,Period 4-18 Aug; 2 sales in review; Facebook method monetizing; product-to-publication attribution not determinable; do not attribute to Elara Reel; Meta dates 16-17 Aug metrics incident
USM-AFF-FB20260818-30-P01,ML-FB-AFF01-260644,https://meli.la/2zCoRix,usmfb2606440818,Facebook,FACEBOOK_NATIVE_PRODUCT,260644,,,Universe,joopin_cat_eye_mlm63045412,MLM63045412,Lentes de Sol Joopin Ojos de Gato Polarizadas Para Mujer con Protección UV400,https://www.mercadolibre.com.mx/lentes-de-sol-joopin-ojos-de-gato-polarizadas-para-mujer-con-proteccion-uv400/p/MLM63045412,,2026-08-20,Attached_User_Confirmed,Compra impulsiva visual,2026-08-18,,Approved,Published_User_Confirmed,Native_Product_Attached_User_Confirmed,,,,,,,,,2026-08-18,Central de Afiliados Mercado Libre + Facebook Planner,Meta confirmó: Se agregó el enlace al producto y la etiqueta Cumples los requisitos para recibir comisión. No se publicó ni modificó el texto. Fernando confirmó que el producto/link fue publicado o adjuntado en Facebook; hora e ID nativo individual pendientes de conciliación.
USM-AFF-FB20260818-30-P01,ML-FB-AFF02-260560,https://meli.la/1IzDjkN,usmfb2605600819,Facebook,FACEBOOK_NATIVE_PRODUCT,260560,,,Fantasma,ghost_led_decor_mlm2093520998,MLM2093520998,Fantasma Decorativo Halloween Tela Con Luz Led,https://www.mercadolibre.com.mx/fantasma-decorativo-halloween-tela-con-luz-led/p/MLM2093520998,,2026-08-20,Attached_User_Confirmed,Compra impulsiva visual,2026-08-18,,Approved,Published_User_Confirmed,Native_Product_Attached_User_Confirmed,,,,,,,,,2026-08-18,Central de Afiliados Mercado Libre,Link corto existente; no publicado ni adjuntado en Facebook. Fernando confirmó que el producto/link fue publicado o adjuntado en Facebook; hora e ID nativo individual pendientes de conciliación.
USM-AFF-FB20260818-30-P01,ML-FB-AFF03-260659,https://meli.la/1UTaJUe,usmfb2606590820,Facebook,FACEBOOK_NATIVE_PRODUCT,260659,,,Universe,cat_scratcher_house_mlmu4776087190,MLMU4776087190,Caja Para Rascar Y Casa De Cartón Para Gatos,https://www.mercadolibre.com.mx/caja-para-rascar-y-casa-de-carton-para-gatos/up/MLMU4776087190,,2026-08-20,Attached_User_Confirmed,Compra impulsiva visual,2026-08-18,,Approved,Published_User_Confirmed,Native_Product_Attached_User_Confirmed,,,,,,,,,2026-08-18,Central de Afiliados Mercado Libre,Link corto existente; no publicado ni adjuntado en Facebook. Fernando confirmó que el producto/link fue publicado o adjuntado en Facebook; hora e ID nativo individual pendientes de conciliación.
USM-AFF-FB20260818-30-P01,ML-FB-AFF04-260635,https://meli.la/2xXwsav,usmfb2606350821,Facebook,FACEBOOK_NATIVE_PRODUCT,260635,,,Universe,torch_lamp_mlm37027136,MLM37027136,Lámpara Led Recargable USB Bastón Antorcha Tráfico Naranja Luz Blanco,https://www.mercadolibre.com.mx/lampara-led-recargable-usb-baston-antorcha-trafico-naranja-luz-blanco/p/MLM37027136,,2026-08-20,Attached_User_Confirmed,Compra impulsiva visual,2026-08-18,,Approved,Published_User_Confirmed,Native_Product_Attached_User_Confirmed,,,,,,,,,2026-08-18,Central de Afiliados Mercado Libre,Link corto generado y verificado con etiqueta granular; no publicado ni adjuntado en Facebook. Fernando confirmó que el producto/link fue publicado o adjuntado en Facebook; hora e ID nativo individual pendientes de conciliación.
USM-AFF-FB20260818-30-P01,ML-FB-AFF05-260510,https://meli.la/18qr1Nh,usmfb2605100822,Facebook,FACEBOOK_NATIVE_PRODUCT,260510,,,Universe,cup_holder_mlm2047372590,MLM2047372590,Soporte De Taza De Escritorio Soporte De Bebidas Negro,https://www.mercadolibre.com.mx/soporte-de-taza-de-escritorio-soporte-de-bebidas-negro/p/MLM2047372590,,2026-08-20,Attached_User_Confirmed,Compra impulsiva visual,2026-08-18,,Approved,Published_User_Confirmed,Native_Product_Attached_User_Confirmed,,,,,,,,,2026-08-18,Central de Afiliados Mercado Libre,Link corto generado y verificado con etiqueta granular; no publicado ni adjuntado en Facebook. Fernando confirmó que el producto/link fue publicado o adjuntado en Facebook; hora e ID nativo individual pendientes de conciliación.
USM-AFF-FB20260818-30-P01,ML-FB-AFF06-260518,https://meli.la/2Z6Ttnr,usmfb2605180824,Facebook,FACEBOOK_NATIVE_PRODUCT,260518,,,Kael,cup_holder_clamp_mlm2101984748,MLM2101984748,Soporte De Taza De Escritorio Abrazadera De Soporte,https://www.mercadolibre.com.mx/soporte-de-taza-de-escritorio-abrazadera-de-soporte-de/p/MLM2101984748,,2026-08-20,Attached_User_Confirmed,Compra impulsiva visual,2026-08-18,,Approved,Published_User_Confirmed,Native_Product_Attached_User_Confirmed,,,,,,,,,2026-08-18,Central de Afiliados Mercado Libre,Link corto generado y verificado con etiqueta granular; no publicado ni adjuntado en Facebook. Fernando confirmó que el producto/link fue publicado o adjuntado en Facebook; hora e ID nativo individual pendientes de conciliación.
USM-AFF-FB20260818-30-P01,ML-FB-AFF07-260540,https://meli.la/1V7tf1m,usmfb2605400826,Facebook,FACEBOOK_NATIVE_PRODUCT,260540,,,Elara,reading_lamp_mlm75777836,MLM75777836,Lámpara De Escritorio LED Con USB Para Lectura Y Cuidado Ocular,https://www.mercadolibre.com.mx/lampara-de-escritorio-led-con-usb-para-lectura-y-cuidado-ocular/p/MLM75777836,,2026-08-20,Attached_User_Confirmed,Compra impulsiva visual,2026-08-18,,Approved,Published_User_Confirmed,Native_Product_Attached_User_Confirmed,1,0,0,0,0,0,0,,2026-08-20 20:51,Central de Afiliados Mercado Libre + Fernando screenshot + Fernando screenshot,"Link corto generado y verificado con etiqueta granular; no publicado ni adjuntado en Facebook. Fernando confirmó que el producto/link fue publicado o adjuntado en Facebook; hora e ID nativo individual pendientes de conciliación. Manual snapshot: Últimos 7 días; 1 clic, 0 unidades, 0% conversión, $0 aumento estimado."
USM-AFF-FB20260818-30-P01,ML-FB-AFF08-260590,https://meli.la/2a1cBGa,usmfb2605900828,Facebook,FACEBOOK_NATIVE_PRODUCT,260590,,,Maeve,cat_phone_holder_mlmu3833350067,MLMU3833350067,Soporte Para Celular Gato Escritorio Oficina Gatito Adorable,https://www.mercadolibre.com.mx/soporte-para-celular-gato-escritorio-oficina-gatito-adorable/up/MLMU3833350067,,2026-08-20,Attached_User_Confirmed,Compra impulsiva visual,2026-08-18,,Approved,Published_User_Confirmed,Native_Product_Attached_User_Confirmed,,,,,,,,,2026-08-18,Central de Afiliados Mercado Libre,Link corto generado y verificado con etiqueta granular; no publicado ni adjuntado en Facebook. Fernando confirmó que el producto/link fue publicado o adjuntado en Facebook; hora e ID nativo individual pendientes de conciliación.
USM-AFF-FB20260818-30-P01,ML-FB-AFF09-741,https://meli.la/2wMEZ5D,usmfb7410829,Facebook,FACEBOOK_NATIVE_PRODUCT,741,,,Elara+Maeve,fireplace_lamp_mlm2058832065,MLM2058832065,Lámpara De Noche Con Forma De Fogata Lámpara De Leña,https://www.mercadolibre.com.mx/lampara-de-noche-con-forma-de-fogata-lampara-de-lena/p/MLM2058832065,,2026-08-20,Attached_User_Confirmed,Compra impulsiva visual,2026-08-18,,Approved,Published_User_Confirmed,Native_Product_Attached_User_Confirmed,,,,,,,,,2026-08-18,Central de Afiliados Mercado Libre,Link corto generado y verificado con etiqueta granular; no publicado ni adjuntado en Facebook. Fernando confirmó que el producto/link fue publicado o adjuntado en Facebook; hora e ID nativo individual pendientes de conciliación.
