period,asset_ref,filename_or_concept,cnt_id,meta_id,publication_date_local,metric_window,metric_definition,reactions,comments,shares,interactions,evidence_tier,evidence_source,comparability,notes
Junio_2026,2607792,2607792 - fantasma+Universe - El gato ;o (21-jun-26).jpeg,CNT-069,1036844829507460_122132599809072582,2026-06-21T20:09:49-06:00,Historical extraction / lifetime at extraction,Reacciones + comentarios + shares,999,2,127,1128,A,Meta historical dataset + Facebook visual evidence + 08 Agosto move manifest,Comparable within same historical extraction; asset relation confirmed; not 24/72h,Coincidencia visual exacta confirmada al encontrar el archivo en 08 Agosto. La ubicación actual es resultado de MOVE_ONLY posterior a la programación de reuse; no es una copia.
Junio_2026,2607794,2607794 - Universe - Aver.. A ver... (22-jun-26).png,CNT-070,1036844829507460_122132690157072582,2026-06-22T10:02:23-06:00,Historical extraction / lifetime at extraction,Reacciones + comentarios + shares,696,2,277,975,A,Meta historical dataset + Facebook visual evidence + 08 Agosto move manifest,Comparable within same historical extraction; asset relation confirmed; not 24/72h,Coincidencia visual exacta confirmada al encontrar el archivo en 08 Agosto. La ubicación actual es resultado de MOVE_ONLY posterior a la programación de reuse; no es una copia.
Junio_2026,260733,260733 - Evan - Yo aura fuerte (10-jun-26).png,CNT-071,1036844829507460_122128723341072582,2026-06-09T20:44:56-06:00,Historical extraction / lifetime at extraction,Reacciones + comentarios + shares,896,20,211,1127,A,Meta historical dataset + Facebook visual evidence + 08 Agosto move manifest,Comparable within same historical extraction; asset relation confirmed; not 24/72h,Coincidencia visual exacta confirmada al encontrar el archivo en 08 Agosto. La ubicación actual es resultado de MOVE_ONLY posterior a la programación de reuse; no es una copia.
Junio_2026,2607825,2607825 - Kael - Ser el malo de la historia (28-jun-26).png,CNT-072,1036844829507460_122134136793072582,2026-06-28T10:42:29-06:00,Historical extraction / lifetime at extraction,Reacciones + comentarios + shares,912,4,392,1308,A,Meta historical dataset + Facebook visual evidence + 08 Agosto move manifest,Comparable within same historical extraction; asset relation confirmed; not 24/72h,Coincidencia visual exacta confirmada al encontrar el archivo en 08 Agosto. La ubicación actual es resultado de MOVE_ONLY posterior a la programación de reuse; no es una copia.
Junio_2026,260735,260735 - Universe - dentro de ti hay dos payasos (10-jun-26).png,CNT-073,1036844829507460_122129013585072582,2026-06-10T14:32:01-06:00,Historical extraction / lifetime at extraction,Reacciones + comentarios + shares,509,13,263,785,A,Meta historical dataset + Facebook visual evidence + 08 Agosto move manifest,Comparable within same historical extraction; asset relation confirmed; not 24/72h,Coincidencia visual exacta confirmada al encontrar el archivo en 08 Agosto. La ubicación actual es resultado de MOVE_ONLY posterior a la programación de reuse; no es una copia.
Junio_2026,260724,Universe - Existencial 260724.png,CNT-068,1036844829507460_122127939543072582,2026-06-07T18:43:18-06:00,Historical extraction / lifetime at extraction,Reacciones + comentarios + shares,25,1,6,32,A,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv + visual match Top + Drive 06 Junio,Comparable within the same historical extraction; not 24/72h,Coincidencia visual exacta con la captura Top; enlazado a CNT-068. La captura muestra lifetime posterior y no se mezcla con el snapshot histórico.
Junio_2026,260724,Universe - Existencial 260724.png,CNT-068,1036844829507460_122127939543072582,2026-06-07,Observed lifetime snapshot in screenshot; capture file dated 2026-08-10,Visible Facebook counters in Top screenshot,4400,143,1400,5943,C,Drive Top screenshot: Captura de pantalla 2026-08-10 172914.png,Not comparable to historical extraction or 24/72h; approximate visible counters,"Valuable reach/scale signal for bible; preserve as observed cut, not exact API snapshot."
Julio_2026,260604,Universe - Existencial 260604.png,CNT-074,1036844829507460_122140003413072582,2026-07-18,Historical extraction / lifetime at extraction,Reacciones + comentarios + shares,3108,62,2312,5482,A,Meta historical dataset + Facebook visual evidence + Drive 07 Julio exact filename/ID,Comparable within same historical extraction; asset relation confirmed; not 24/72h,"Imagen con el texto ""¿Por qué estás tan callado? ¿Qué tienes en mente?"" y personaje dentro de una burbuja. Filename, Drive ID, fecha y Meta ID coinciden; CNT editorial confirmado."
Julio_2026,2607987,Universe - Existencial 2607987.jpeg,CNT-075,1036844829507460_122142779757072582,2026-07-28,Historical extraction / lifetime at extraction,Reacciones + comentarios + shares,2367,18,1341,3726,A,Meta historical dataset + Facebook visual evidence + Drive 07 Julio exact filename/ID,Comparable within same historical extraction; asset relation confirmed; not 24/72h,"Fantasma sentado en bosque con el texto ""No es desinterés, ya se me olvidan las cosas bien feo."" Filename, Drive ID, fecha y Meta ID coinciden; CNT editorial confirmado."
Julio_2026,729,Universe - Existencial 729.png,CNT-076,1036844829507460_122142627051072582,2026-07-27,Historical extraction / lifetime at extraction,Reacciones + comentarios + shares,2249,16,714,2979,A,Meta historical dataset + Facebook visual evidence + Drive 07 Julio exact filename/ID,Comparable within same historical extraction; asset relation confirmed; not 24/72h,"Dos parejas de esqueletos con el texto ""Ni ella le habló y él no la buscó..."" Filename, Drive ID, fecha y Meta ID coinciden; CNT editorial confirmado."
