period,role,asset_ref,filename_or_concept,meta_id,date,local_time,format,metric_definition,metric_value,reactions,comments,shares,source,selection_note
Mayo_2026,Reuse_Top28,260633,260633 - Universe.png,1036844829507460_122123199435072582,2026-05-23,,Unknown_from_ranking,Reacciones + comentarios + shares,14,11,1,2,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260642,260642 - Universe+Wilfred.png,1036844829507460_122124931461072582,2026-05-30,,Unknown_from_ranking,Reacciones + comentarios + shares,12,9,1,2,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260528,260528 - Universe.png,1036844829507460_122119022541072582,2026-05-09,,Unknown_from_ranking,Reacciones + comentarios + shares,11,8,2,1,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260644,260644 - Universe.png,1036844829507460_122124927519072582,2026-05-30,,Unknown_from_ranking,Reacciones + comentarios + shares,10,7,2,1,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260515,260515 - Universe.png,1036844829507460_122118254373072582,2026-05-05,,Unknown_from_ranking,Reacciones + comentarios + shares,10,6,3,1,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260560,260560 - Fantasma.png,1036844829507460_122124445011072582,2026-05-14,,Unknown_from_ranking,Reacciones + comentarios + shares,10,6,0,4,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260659,260659 - Universe.png,1036844829507460_122125167639072582,2026-05-31,,Unknown_from_ranking,Reacciones + comentarios + shares,9,6,2,1,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260508,260508 - Universe.jpg,1036844829507460_122117393139072582,2026-05-01,,Unknown_from_ranking,Reacciones + comentarios + shares,9,7,2,0,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260635,260635 - Universe.png,1036844829507460_122124494049072582,2026-05-22,,Unknown_from_ranking,Reacciones + comentarios + shares,9,7,1,1,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260614,260614 - Universe.png,1036844829507460_122122824549072582,2026-05-23,,Unknown_from_ranking,Reacciones + comentarios + shares,8,6,0,2,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
Mayo_2026,Reuse_Top28,260589.png,260589.png,1036844829507460_122120887443072582,2026-05-18,,Unknown_from_ranking,Reacciones + comentarios + shares,8,4,4,0,2026-08-14_Reuse_Mayo_Ranking.csv,Top28 reuse candidate; best post ID from ranking.
