Observacion_ID,Experiment_ID,Hypothesis_ID,Nivel,Fecha_Inicio,Fecha_Fin,Contenido_Referencia,Plataforma,Formato,Tipo_Contenido,Posts_N,Interacciones_Totales,Interacciones_Dia,Mediana_Interacciones,Shares_Interacciones,Slot_Planeado,Hora_Real,Meta_ID,Interacciones_24h,Interacciones_72h,Estado_Canon,Estado_Publicacion,Veredicto,Conclusion,Proxima_Accion,Fuente
OBS-HB005-JUN14,EXP-2026-08-BASELINE-01,HB-005,Cohorte,2026-06-01,2026-06-14,Facebook primeros 14 días de junio,Facebook,Foto/meme,Histórica,133,6865,490.36,7,20.48,,,,,,No_aplica,Cerrada,Baseline,"Frecuencia alta, pero rendimiento típico bajo por publicación.",Usar como referencia histórica; no tratar junio como mejor mes por pieza.,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto.md
OBS-HB005-JUL14,EXP-2026-08-BASELINE-01,HB-005,Cohorte,2026-07-01,2026-07-14,Facebook primeros 14 días de julio,Facebook,Foto/meme,Histórica,94,22324,1594.57,41,23.85,,,,,,No_aplica,Cerrada,Baseline_Referencia,Julio fue el mejor periodo de los tres en total diario y mediana por pieza.,Usar como referencia principal frente al experimento de agosto.,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto.md
OBS-HB005-AUG14,EXP-2026-08-BASELINE-01,HB-005,Cohorte,2026-08-01,2026-08-14,Facebook primeros 14 días de agosto,Facebook,Foto/meme,Histórica,64,12293,878.07,29,28.61,,,,,,No_aplica,Cerrada,Resultado_Comparativo,"Agosto cae frente a julio, pero permanece por encima de junio por publicación y no está en picada respecto a junio.",Probar frecuencia ampliada sin confundirla con calidad o reuse.,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto.md
OBS-HB003-AUG04_09,EXP-2026-08-BASELINE-02,HB-003,Cohorte,2026-08-04,2026-08-09,Facebook 4–9 de agosto,Facebook,Foto/meme,Histórica,33,,,,,Mixto,,,,,No_aplica,Cerrada,Baseline_Horaria,Mediana observada de 26; periodo mezclado con cambios de contenido y reuse.,Comparar con 10–14 de agosto sin declarar causalidad.,2026-08-14_Integracion_Growth_OS.md
OBS-HB003-AUG10_14,EXP-2026-08-BASELINE-02,HB-003,Cohorte,2026-08-10,2026-08-14,Facebook 10–14 de agosto,Facebook,Foto/meme,Histórica,17,,,,,Mixto,,,,,No_aplica,Cerrada,Señal_Preliminar,"Mediana observada de 37 frente a 26; la diferencia es compatible con la ampliación horaria, pero está confundida por día, personaje y mezcla.",Mantener HB-003 en prueba dentro del calendario 17–30.,2026-08-14_Integracion_Growth_OS.md
OBS-HB004-AUG04_09,EXP-2026-08-BASELINE-03,HB-004,Cohorte,2026-08-04,2026-08-09,Facebook calendario 4–9 de agosto,Facebook,Foto/meme,Reuse_Mix,32,,,,,Mixto,,,,,No_aplica,Cerrada,Inconcluso,"Se observaron al menos 14 reuse sobre aproximadamente 32 publicaciones; la concentración es compatible con fatiga, pero no prueba causalidad.",Comparar Reuse_Top frente a Nueva en la prueba 62/38.,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto.md
OBS-FB-15_16-01,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-15,2026-08-15,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,Facebook,Imagen estática,Nueva,1,,,,,10:00,10:00:22,1036844829507460_122150559441072582,,,Aprobado,Publicado,Pendiente_24h,Publicación real confirmada por Meta Graph API y reconciliada con CNT-031; aún sin métricas de 24/72 horas. Extracción 2026-08-15T21:59:37Z: ninguna ventana 24/72h elegible; evidencia Operations/Research/2026-08-15_Metricas_24_72_Extraccion_01.json; métricas no estimadas. [METRICS-RUN:20260817T034500Z] 2026-08-17T03:37:53.126815+00:00: 24h due; 24h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written. [METRICS-RUN:P0-2026-08-19-NEXT] 2026-08-19T03:13:31.507527+00:00: 72h due; 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.,Extraer métricas 24h y 72h; después actualizar el veredicto por hipótesis. Revisar en el siguiente lote de 48 horas.,2026-08-15_Calendario_15_16_Agosto.csv
OBS-FB-15_16-02,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-15,2026-08-15,260583 - Universe.png,Facebook,Imagen estática,Reuse_Approved_User_Context,1,,,,,11:00,11:00:05,1036844829507460_122150559591072582,,,Aprobado,Publicado,Pendiente_24h,Publicación real confirmada por Meta Graph API y reconciliada con CNT-032; aún sin métricas de 24/72 horas. Extracción 2026-08-15T21:59:37Z: ninguna ventana 24/72h elegible; evidencia Operations/Research/2026-08-15_Metricas_24_72_Extraccion_01.json; métricas no estimadas. [METRICS-RUN:20260817T034500Z] 2026-08-17T03:37:53.126815+00:00: 24h due; 24h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written. [METRICS-RUN:P0-2026-08-19-NEXT] 2026-08-19T03:13:31.507527+00:00: 72h due; 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.,Extraer métricas 24h y 72h; después actualizar el veredicto por hipótesis. Revisar en el siguiente lote de 48 horas.,2026-08-15_Calendario_15_16_Agosto.csv
OBS-FB-15_16-03,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-15,2026-08-15,2608033 - Fantasma - vendra primero mi boda o jesus.jpeg,Facebook,Imagen estática,Nueva,1,,,,,13:30,13:30:00,1036844829507460_122150559693072582,,,Aprobado,Publicado,Pendiente_24h,Publicación real confirmada por Meta Graph API y reconciliada con CNT-033; aún sin métricas de 24/72 horas. Extracción 2026-08-15T21:59:37Z: ninguna ventana 24/72h elegible; evidencia Operations/Research/2026-08-15_Metricas_24_72_Extraccion_01.json; métricas no estimadas. [METRICS-RUN:20260817T034500Z] 2026-08-17T03:37:53.126815+00:00: 24h due; 24h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written. [METRICS-RUN:P0-2026-08-19-NEXT] 2026-08-19T03:13:31.507527+00:00: 72h due; 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.,Extraer métricas 24h y 72h; después actualizar el veredicto por hipótesis. Revisar en el siguiente lote de 48 horas.,2026-08-15_Calendario_15_16_Agosto.csv
OBS-FB-15_16-04,EXP-2026-08-CAL-01,HB-003|HB-004|HB-005,Publicacion,2026-08-15,2026-08-15,260539 - Evan+Kiri.png,Facebook,Imagen estática,Reuse_Approved_User_Context,1,,,,,19:00,19:00:00,1036844829507460_122150559765072582,,,Aprobado,Publicado,Pendiente_24h,Publicación real confirmada por Meta Graph API y reconciliada con CNT-034; aún sin métricas de 24/72 horas. Extracción 2026-08-15T21:59:37Z: ninguna ventana 24/72h elegible; evidencia Operations/Research/2026-08-15_Metricas_24_72_Extraccion_01.json; métricas no estimadas. [METRICS-RUN:20260817T034500Z] 2026-08-17T03:37:53.126815+00:00: 24h due; 24h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written. [METRICS-RUN:P0-2026-08-19-NEXT] 2026-08-19T03:13:31.507527+00:00: 72h due; 72h_snapshot_unavailable; Meta response contains current lifetime totals only; no exact 24h/72h snapshot written.,Extraer métricas 24h y 72h; después actualizar el veredicto por hipótesis. Revisar en el siguiente lote de 48 horas.,2026-08-15_Calendario_15_16_Agosto.csv
